客户等级,主叫次数,被叫次数,通话时长,费用,流失
1,1.660377359,0.954792043,1.024263948,1.238086462,0
1,0.820224719,1.336996337,1.029982363,1.051620648,0
3,1.065509077,1.075382182,1.044722416,1.042778194,0
1,1.104761905,1.35256521,1.463125149,1.363850653,0
2,0.437417655,0.914096916,0.479588387,0.406024717,0
2,0.642857143,1.088222123,0.588741397,0.543497125,0
1,0.658970359,0.343414634,0.45822392,0.476776909,0
1,0.637065637,0.909766612,0.621585564,0.679987133,0
2,1.182745826,1.056122449,1.185570683,1.09322873,0
1,1.073170732,1.148351648,1.198333722,1.074706845,0
1,1.513605442,1.326708075,1.557472634,1.39833593,0
2,1.136919755,1.414808493,1.126001369,0.938956689,0
2,1.093830467,1.130298273,1.044927767,0.910372924,0
1,0.64469914,0.966257669,0.959596819,1.004866207,0
2,1.272420342,1.13226287,1.129333723,1.179818616,0
1,1.567944251,1.297959184,1.319583796,1.356272762,0
1,0.860869565,0.696629214,0.873757313,1.051763694,0
2,1.288129529,1.024523927,1.27982905,0.968173551,0
1,0.701945525,0.433862434,0.291363896,0.386847748,0
2,0.842885099,1.195262024,0.974042874,1.004222511,0
3,1.177712115,1.061270018,1.231556929,0.933859829,0
2,0.565770863,0.676007511,0.552211309,1.067939944,0
4,1.389658849,1.880952381,1.75839626,1.704078487,0
2,0.934435685,1.122077922,1.001773938,0.911110209,0
2,0.806626833,1.001642036,0.949583896,0.838342671,0
1,0.931370163,0.778425656,0.680446085,0.713743373,0
2,0.646319569,0.738530399,0.944928968,0.598192396,0
1,1.603801604,1.104565538,1.639803784,1.604626118,0
1,1.198547216,0.903089517,0.943490167,0.742919849,0
2,2.085914086,1.032325339,1.482180868,2.583154642,0
2,0.558869702,0.875201144,0.823220624,0.57947269,0
2,0.525756771,0.799868334,0.578950426,0.459867433,0
2,1.008403361,1.074570591,1.051532885,1.329900789,0
1,1.562219868,1.203377903,1.96805778,1.772314389,0
1,1.203252033,1.636650869,1.359228596,1.408304498,0
1,1.204889406,1.25633232,1.311028991,0.883227334,0
1,0.3160415,0.673469388,0.390522382,0.410616915,0
2,1.193256651,1.319579603,1.244348927,1.186051782,0
2,1.036653814,1.043582567,1.154697004,0.914976436,0
2,1.212121212,1.120823853,1.1622883,1.13298414,0
2,1.257763975,1.0190602,1.081549989,0.984398952,0
3,0.64828614,0.802583026,0.886478875,1.780969097,0
1,0.744769875,1.004671078,1.021338978,0.672296471,0
1,2.158108405,1.891885714,2.374030747,2.137386521,0
1,1.970485061,1.757536042,2.274069201,1.992064227,0
2,1.081146744,1.18236715,1.22684519,1.177603181,0
2,1.144631766,1.267746229,1.220191061,1.145189937,0
1,1.229199372,1.274725275,1.410542949,1.198163734,0
1,2.07485242,1.999709049,2.165397644,1.944716201,0
2,0.895117541,0.769025367,1.127102523,0.847733346,0
1,1.126656848,1.492346939,1.653031128,1.856460078,0
2,0.676044797,0.864345738,0.751992004,0.415041231,0
1,1.239067055,0.612244898,0.832654909,0.802126318,0
2,1.113610799,1.098214286,1.265763854,1.050957326,0
1,1.170744541,1.231446541,1.10365112,1.227735685,0
2,0.789651294,0.819578828,0.711414716,0.73841437,0
1,0,0.764227642,0.397293226,0.052847411,0
2,1.073149742,0.953051643,0.918613826,0.851140739,0
2,0.797555386,0.847975554,0.839758385,0.967588032,0
1,0.621428571,0.967798595,0.916713494,0.81490289,0
2,0.95933961,0.920299077,0.919024691,0.770151927,0
2,1.112369966,0.972333747,1.142243955,1.099204092,0
2,1.333333333,1.577708006,1.287222162,1.014824525,0
1,1.052210122,0.786516854,0.880134816,0.732991416,0
2,1.143958869,0.995591235,1.238161197,1.125233095,0
2,1.146496815,0.989010989,1.342785785,1.15614732,0
1,1.838546069,1.621857288,1.631447777,1.276883004,0
1,0.722311397,0.983193277,0.555523337,0.483341279,0
2,1.139817629,1.223195409,1.094708762,0.951005301,0
2,1.187789643,1.121185316,1.322362621,1.434816686,0
1,1.117346939,1.210084034,1.077986309,0.91085125,0
2,0.381679389,0.428176796,0.320534181,1.212231135,0
2,1.451761103,1.627118644,1.639797184,1.619538579,0
2,0.698004855,0.685194355,0.727360392,0.686986029,0
2,1.188538206,1.086309524,1.194545813,1.39105656,0
1,0.908163265,1.246498599,1.103420623,1.124645761,0
2,0.754491018,0.75974026,0.57932917,0.753146007,0
1,0.545454546,0.689655172,0.70021692,0.727256095,0
1,1.774285714,1.171790235,1.386341058,2.090625532,0
1,3.635111876,2.830854376,2.755348505,2.792339959,0
1,0.624638519,0.922320148,0.511325168,0.514305896,0
2,1.302288871,1.079114573,1.226574741,1.110116005,0
2,1.207983193,1.072906404,1.135749988,1.02612758,0
1,0.669642857,0.628356606,0.673142398,0.664295474,0
